word,count
jam,12468316
rio,12362288
arc,12229184
mrs,12206596
app,12156802
roy,12074809
ion,12074177
tit,12036749
fed,12005354
ban,11940116
zus,11935423
ent,11872105
odd,11871958
ext,11830447
amy,11734926
phd,11665297
cry,11624610
zoo,11589578
aka,11570453
tee,11539905
cad,11431260
tcp,11407040
dir,11381802
val,11322492
ghz,11189355
hub,11188639
eng,11144620
ace,11134733
sue,11086374
gbp,11077306
chi,10981165
rfc,10936498
seo,10916104
isp,10914017
ins,10886378
jpg,10842679
ssl,10777825
opt,10763778
flu,10759905
mlb,10750904
rap,10729871
tin,10695557
oem,10669811
rat,10626001
dos,10564148
plc,10464669
msg,10443091
cod,10426143
gen,10369037
nhl,10338132
gel,10294568
aaa,10243983
std,10176759
vid,10132645
bbw,10093596
fda,10063257
thy,10017433
tri,9995307
pal,9987022
mat,9937738
ted,9926083
gym,9872500
kde,9872010
tan,9747576
alt,9681244
pie,9681219
cbs,9672500
bow,9663748
hon,9569133
atm,9510909
cox,9503104
cms,9461942
vic,9452560
pos,9445257
nav,9305379
cab,9268943
ist,9244227
dam,9204248
cnn,9199332
lil,9197038
das,9195872
sys,9167125
icq,9138506
dns,9064219
pty,9057527
sox,9046134
tub,8990811
ash,8934811
ali,8924192
tft,8910613
jvc,8909854
cgi,8870927
por,8804069
mem,8778831
tap,8770914
vii,8660788
bee,8659734
cfr,8635553
pmc,8581311
mba,8542630
pit,8523152
mag,8461577
gsm,8460675
ddr,8445959
rec,8441122
ton,8405500
gif,8384163
gpl,8359813
irc,8332867
bra,8310230
phi,8273448
mls,8268707
cow,8267976
cet,8243582
ppc,8205779
div,8200687
ons,8129510
avi,8084386
ide,8047346
rpg,8042611
tgp,8001985
leo,7999564
diy,7990525
arg,7976318
geo,7952815
doe,7946613
ati,7939891
wal,7937298
abs,7925063
sim,7917540
rna,7916693
rid,7877480
rip,7811993
buf,7790383
sol,7742935
eco,7736515
bat,7725300
lip,7697283
sap,7694814
ict,7635837
sku,7583324
pts,7529949
rrp,7524132
ooo,7491386
nhs,7447103
aye,7441890
ste,7430971
col,7402414
une,7347765
tex,7342192
cia,7338564
dod,7322498
neo,7316103
dig,7292787
nat,7285471
dpi,7260183
gis,7259718
loc,7253484
gui,7157010
ver,7150746
rim,7148785
zen,7146814
dis,7141885
kay,7122340
ser,7114069
fwd,7086252
aus,7063525
hwy,7052767
nam,7037733
gdp,7029981
pig,7028841
lit,7003064
una,6999910
ada,6977809
yrs,6924463
foo,6923081
gba,6921458
sig,6901508
duo,6898480
fog,6889832
str,6871657
vip,6851845
yea,6831773
fur,6824491
tar,6815687
soc,6796618
rug,6759009
dem,6736082
wav,6732310
ham,6710254
fbi,6697183
tba,6666724
sie,6665401
eva,6646235
rca,6634774
gst,6621639
bon,6619974
mas,6602100
len,6596651
kai,6593897
dom,6590045
obj,6572150
jar,6549211
cos,6519725
pac,6515935
erp,6511150
vpn,6498481
fcc,6495119
eds,6486176
wax,6472822
nut,6455927
irs,6436696
bye,6427151
cdt,6426948
ana,6422027
eau,6374072
mil,6366921
lap,6338010
sao,6318816
gmc,6293509
asn,6225925
ppm,6193757
ant,6182704
apt,6178351
inf,6171461
eos,6169309
vcr,6160813
uri,6157239
gem,6147908
psi,6101411
pct,6099347
qld,6079639
pas,6077603
gig,6049004
sas,6048241
liz,5991073
ccd,5988412
llp,5951744
boc,5949738
tmp,5929750
ate,5929336
fin,5916557
mud,5915017
uni,5909498
ala,5842094
dip,5839794
nbc,5838491
mpg,5811089
cas,5805006
cio,5798955
dow,5798818
upc,5794572
dui,5793574
yen,5792863
lid,5776418
pvc,5760922
enb,5707514
til,5700373
wto,5692621
hay,5688403
isa,5666214
pix,5645638
mic,5643454
ata,5599667
nil,5598171
pam,5592553
cop,5581961
dim,5575497
mai,5551647
abu,5524021
mtv,5486201
leu,5480452
lou,5451701
pgp,5444276
sip,5430090
dee,5393038
mae,5375608
mel,5372436
sic,5357059
seq,5333625
wma,5328087
cir,5324062
acm,5307185
ips,5296775
dsc,5293523
mia,5291817
wan,5285316
gtk,5267304
ira,5230695
sen,5230325
dts,5222474
pod,5206411
dat,5197825
soa,5196328
cho,5154704
wit,5149169
bbs,5141277
ind,5137910
qui,5128650
mug,5112219
ids,5082346
slr,5032731
rel,5029379
ign,5025376
owl,5010726
num,5005434
din,4990283
btw,4983279
att,4983068
vet,4982559
pbs,4949103
als,4895759
ffl,4895251
hal,4874383
ppp,4873566
che,4863235
ies,4855302
lin,4841305
het,4815974
mol,4813019
nas,4792910
det,4786998
xsl,4775572
ctr,4768802
vcd,4746716
gal,4740469
ems,4737189
mst,4729417
tot,4719021
rem,4706130
elk,4688629
cis,4681533
rex,4659516
txt,4657297
soy,4652673
suv,4641280
bud,4638865
mis,4637449
bbq,4636060
dmx,4631354
auf,4615854
esp,4612780
pkg,4610477
esl,4608134
dia,4591255
atv,4587483
vga,4587329
sch,4581399
mfg,4577532
blk,4565732
dye,4564149
kia,4534357
ile,4529880
bsd,4528704
dew,4526551
npr,4514065
gum,4503031
adv,4500447
imc,4498263
ufo,4497899
pcr,4487739
ein,4487563
fry,4482394
roi,4473314
deg,4438827
bot,4438718
lea,4438618
dvi,4419968
apo,4400599
nih,4397028
hoc,4396598
hdd,4396336
nos,4388293
ssh,4381215
wap,4356647
edu,4350586
mmc,4347714
rms,4334521
lys,4312989
gia,4310747
ops,4294947
huh,4290479
eps,4280377
hmm,4279237
ont,4269924
cdc,4259074
hsn,4255475
shy,4248699
sid,4247035
sta,4237091
ret,4235970
dvr,4230068
cdn,4229263
hex,4217438
crt,4195744
ptr,4187921
cmd,4175215
err,4139438
sup,4138281
sgh,4132934
aux,4126536
een,4119433
rdf,4119348
pol,4104771
doo,4102101
msc,4079737
liu,4076159
gta,4074066
abt,4062793
rgb,4051660
sgt,4043001
ast,4042477
apc,4035654
rue,4033203
pga,4028508
elf,4024474
ces,4023368
cha,4019243
dub,4017027
tai,4011354
pak,4004319
mos,4002363
vis,3991760
hpa,3959218
gop,3933372
ngo,3931983
pvt,3930463
atp,3924233
ivy,3922494
mvp,3921996
ark,3908616
cbc,3906954
sed,3905643
wwe,3883842
cor,3879006
goo,3878783
nic,3869264
acs,3839798
cpa,3834650
jen,3823290
ars,3818073
cue,3810147
png,3806867
han,3806541
sac,3803083
peg,3802883
svn,3790357
mum,3764100
asa,3762120
twp,3759094
atx,3757516
hen,3732543
mib,3731368
glu,3727782
tec,3726338
csi,3722907
doi,3719879
bst,3709095
dsp,3697938
toc,3693115
mms,3681419
ego,3678432
nay,3667089
dll,3660822
nsf,3654390
djs,3642345
cur,3639449
lon,3629057
vin,3627453
lam,3621434
iss,3620766
dcr,3617952
kvm,3606229
mob,3599356
imf,3597605
cmp,3574611
udp,3574123
sts,3573433
ich,3571980
sbc,3565444
gag,3563372
goa,3555223
thr,3550228
emi,3532925
sis,3530367
ale,3528963
sem,3528520
rcs,3524522
ios,3522845
yds,3516174
ive,3514167
dei,3495746
dst,3479167
hut,3471098
msa,3461617
pcb,3444550
sdk,3444007
drm,3437532
tas,3436669
rub,3432829
gov,3431706
ter,3431134
crc,3423870
chf,3416608
clr,3415290
vac,3401745
nan,3398089
uss,3385393
och,3381894
dba,3376018
cdr,3370870
msi,3369940
mus,3363179
mps,3357826
agp,3355421
unc,3335963
ang,3333618
lim,3318848
exc,3315237
eff,3308296
nes,3304394
tor,3299295
fra,3294810
nwt,3294566
ole,3291808
rsa,3283526
rcw,3283008
ths,3279321
eli,3278540
meg,3271056
khz,3259435
aps,3257224
iis,3253296
imp,3243955
uae,3239142
wee,3235414
jsp,3235209
ger,3220343
tis,3210106
owe,3201488
som,3194242
psa,3188561
tac,3187998
dlp,3186274
hud,3169273
mov,3168655
afp,3158153
ned,3152758
utf,3151108
tha,3139708
ore,3138666
nfs,3132863
lac,3129942
edi,3122823
pid,3108537
xii,3107589
dep,3107120
emc,3100554
gpa,3094981
nip,3086133
bel,3081561
tsp,3074410
sha,3073678
mri,3071065
hum,3070763
bis,3068458
aix,3058682
cnc,3053822
ida,3034017
req,3021355
sar,3014777
pep,3012344
psc,3006303
mer,3000228
icc,2987211
rad,2980258
gut,2979963
yep,2978207
iec,2977685
esa,2975827
uml,2973674
bur,2973485
spi,2967855
elm,2957553
hug,2943073
ppl,2936623
hep,2932339
tos,2928680
hcl,2927881
sco,2926215
env,2919680
phs,2917754
mah,2914980
abn,2911684
wat,2896705
rey,2896655
yay,2893326
mfr,2884236
boo,2884230
afb,2879707
exe,2876913
tcl,2870388
tow,2869301
qos,2866947
hgh,2857258
ack,2852879
nyt,2851907
hai,2849557
bei,2832217
dmc,2832054
adj,2825380
rig,2821809
sax,2819089
oss,2816145
asc,2812995
nsu,2811067
wks,2808877
faa,2806551
wmv,2803537
lao,2803492
jew,2802302
jaw,2797270
rbi,2786599
lag,2776554
fyi,2775670
ics,2774664
apa,2774295
axe,2764176
cuz,2759008
ams,2756672
mgm,2746316
ras,2743346
rib,2741585
phe,2741548
ers,2739646
ses,2736329
ord,2733054
bea,2730891
ama,2728744
mal,2725422
aba,2724411
woo,2718146
tty,2715971
bsc,2715633
bbb,2710841
csa,2704965
fao,2698710
nws,2696829
ngc,2681453
nib,2673739
tao,2661916
sti,2657216
ccc,2653254
heh,2645768
eta,2639873
amc,2631713
kos,2630462
tau,2618285
nsa,2618170
beg,2616794
psu,2613736
ogg,2607373
tnt,2604555
omg,2600065
cle,2591097
tyr,2587078
esq,2586164
kat,2581765
sos,2579597
lsu,2579406
gao,2577702
uid,2575374
fav,2574840
umd,2573596
gdb,2573470
bro,2572817
fab,2572142
quo,2567723
lei,2563419
stu,2557663
rpc,2556471
thb,2554386
ita,2553088
idg,2550907
wes,2548030
dds,2547777
deb,2545057
cpc,2542313
alr,2539565
roe,2536469
cme,2534937
ecc,2524797
crs,2516542
ssi,2513247
gly,2508067
aac,2501919
cbd,2500767
afl,2500467
har,2500142
rfp,2482763
coa,2481885
tra,2477461
nap,2473014
tho,2468927
vie,2467637
gil,2466786
sle,2466708
scr,2464405
pdb,2445413
ape,2433746
svc,2433201
gee,2433166
dcp,2431185
pte,2428751
ors,2428335
cps,2426767
lex,2424291
abe,2420884
roc,2420867
pow,2417177
lic,2412629
fte,2410575
stl,2410217
gsa,2407008
imo,2398408
otc,2394381
ssa,2394130
itu,2381042
mpi,2380878
rag,2379816
lec,2371331
lob,2370806
hbo,2369976
sus,2367695
yum,2362952
poe,2358805
gan,2356874
ans,2348913
dar,2345848
nrc,2344524
chr,2341619
wtf,2336576
scm,2334976
fno,2333219
kin,2331005
koh,2330943
spd,2329507
zur,2326312
fps,2326094
acl,2317468
luv,2317005
fir,2312692
dbz,2308696
tem,2303587
evo,2302762
mir,2301062
emo,2298484
idc,2290381
adc,2286745
cre,2279903
ubc,2277610
pri,2274142
hog,2268262
sal,2265728
csu,2262407
fsa,2260599
xiv,2259150
sgd,2258779
nad,2257673
obs,2256448
cao,2256157
ftd,2254313
rum,2253411
asm,2249397
smb,2249340
blu,2247636
orb,2247433
bse,2246795
awe,2241800
dal,2237668
cub,2235775
psy,2233577
moc,2233182
dau,2233093
xxl,2228696
lug,2223791
bos,2222737
wwf,2222487
smc,2221367
ipo,2219587
tek,2219164
ipc,2218670
bib,2217795
mdt,2215115
tam,2214121
cpr,2207694
ami,2202799
hid,2201472
itk,2188783
kms,2188696
nod,2188223
ocr,2187412
thn,2177684
jin,2171963
wie,2167727
dwi,2167694
uma,2166436
itc,2163514
kpx,2162576
kan,2160933
ean,2157566
fla,2156973
wig,2151939
ska,2145956
dma,2144078
sme,2142571
atl,2141257
ims,2140644
spp,2139409
ohm,2137321
mfc,2136307
mca,2134338
nmr,2133501
mso,2131250
htm,2130942
ats,2130612
tal,2129892
ber,2128430
dhs,2128002
msu,2120248
tlc,2118697
rye,2118455
fta,2116919
pls,2114116
bmx,2113172
lad,2112499
ora,2111128
bal,2110992
fsb,2106549
cns,2105883
mlm,2104801
wil,2097363
shi,2096174
gev,2095907
lax,2093131
omb,2092493
wei,2092089
bac,2091886
rei,2091264
ren,2090330
cpl,2090322
sbs,2090228
pea,2085825
swf,2084600
rus,2080985
tbd,2074334
ipb,2072751
asu,2072567
tsn,2070351
bdd,2067818
csc,2067657
neu,2065780
hem,2064628
gln,2062418
ect,2056954
sto,2056298
esc,2054520
stp,2053839
mot,2052874
ari,2051728
avr,2051178
ppt,2050070
cts,2047919
qtr,2046531
rae,2046470
bas,2042968
wmd,2041245
pms,2041156
cfs,2040025
ffi,2039721
rot,2038597
tcm,2038565
prc,2034927
afc,2030457
dcs,2022676
emu,2020275
mci,2018864
syn,2017477
sgi,2017460
tia,2014530
srl,2012900
wai,2011508
thx,2008850
paw,2004599
lux,2004493
isl,2003376
cit,2000858
xvi,2000795
ttl,2000227
bmp,1997020
dss,1995347
luc,1995235
bam,1994832
ssk,1992416
sek,1987463
dsm,1987204
dea,1986635
spc,1984949
osx,1983123
lds,1979667
gre,1978625
dab,1978263
bpm,1977162
ged,1973444
pcg,1968097
vor,1966243
atc,1965376
pim,1958565
smp,1957036
adr,1955427
gin,1953412
sli,1945369
mio,1944066
aes,1943495
snp,1942883
pap,1940941
adm,1939605
isd,1939442
cen,1937421
sba,1935316
rea,1933488
snr,1932969
ecs,1932676
nrs,1931998
cfa,1931070
nom,1931008
pps,1930870
ntp,1929658
hee,1926997
opp,1926557
dug,1923261
cli,1922413
tic,1920206
lps,1914435
pdp,1914022
gpo,1910748
moe,1905667
fam,1896046
nel,1895779
bmi,1894893
eis,1890885
ish,1886194
mla,1885557
chu,1884237
arr,1881385
abi,1876210
cpp,1874317
spf,1872233
vox,1869085
cpi,1863331
nis,1862128
crn,1859800
cid,1859604
mmf,1858564
coe,1857824
fac,1857488
ric,1854210
rtf,1845598
bmc,1842552
eia,1841709
aff,1840279
jfk,1838580
raf,1838579
mop,1838160
urn,1838000
pei,1837362
eas,1837012
adp,1836423
kev,1833602
zoe,1830206
csr,1829287
soo,1828088
ply,1824830
dvb,1824140
msm,1822715
rac,1822698
cdp,1815535
nur,1813601
mev,1812780
uno,1812516
cot,1811236
sdn,1808612
mta,1808429
ity,1802837
esd,1802539
gnd,1797544
ire,1797064
osu,1796471
gus,1795932
utp,1795706
jpy,1795307
ccm,1792700
bmg,1790663
csv,1789174
wen,1787310
atk,1785517
oki,1783673
jbl,1780016
vel,1779042
ilo,1778064
pcm,1776396
dtd,1774926
mda,1773749
nok,1769062
caa,1766681
tad,1766251
hhs,1764661
cca,1761844
svg,1758881
mvc,1757949
sew,1756454
hun,1753259
oro,1751970
myr,1751884
mpc,1745549
fob,1745293
ifs,1742322
mpa,1741311
rao,1741309
arp,1740980
pax,1739062
taj,1738911
nie,1735620
cpt,1731671
ftc,1731233
mft,1730512
ooh,1728850
bod,1728526
yin,1727888
asi,1727387
cpm,1725820
bop,1725693
smf,1721911
aut,1719687
gam,1717331
xtc,1715288
wac,1714863
dex,1712379
hms,1711533
ibn,1710709
asf,1709180
pfc,1708862
ctx,1706946
mmm,1705485
irq,1701823
sdl,1701563
ttf,1696817
aca,1695703
fpo,1695624
fre,1694712
mds,1694073
boa,1692885
ncr,1691517
voc,1690816
yer,1690747
rts,1690444
cac,1688583
teh,1688205
mes,1685857
lev,1683199
rai,1682546
aft,1679356
bhd,1679217
cpg,1678065
tes,1677227
sds,1674693
dun,1673771
lis,1671786
srs,1670562
hua,1670186
vos,1667880
xda,1667186
cfo,1664414
vhf,1663087
tdk,1657290
fha,1656402
nox,1655793
sca,1654674
tls,1654661
viz,1654193
plz,1653411
dsa,1650744
dag,1649705
ess,1649372
moi,1644951
ode,1644895
emp,1643968
dit,1643411
amt,1642018
avs,1640739
orf,1637492
amg,1633010
moo,1631972
cpe,1630035
sst,1626557
acp,1624489
tds,1623347
paz,1620531
lai,1620043
hes,1618232
dac,1618101
ros,1617065
mnt,1615936
fas,1614215
pta,1610659
poy,1610489
mao,1610486
yup,1605889
occ,1603222
yan,1602598
tco,1602155
eeo,1600660
dkk,1599292
sse,1599055
bgp,1597907
dnc,1596534
jug,1596524
bci,1596096
lst,1593082
ais,1593010
rst,1592042
ecm,1591302
fem,1590900
spe,1590892
ani,1590450
poo,1589025
agm,1588758
sai,1587821
cso,1585638
mei,1582288
mcg,1582176
hob,1582154
lvl,1578980
ado,1577461
neg,1576110
rma,1575379
pug,1573807
srp,1572924
tat,1572566
tug,1571859
hmv,1570993
drs,1569784
thi,1569597
mts,1564993
pip,1564790
pup,1564770
cdm,1561876
icy,1560875
sui,1558304
ccs,1556558
seg,1556532
sla,1554815
mcc,1552215
hou,1552160
foe,1551784
nun,1550442
isi,1548687
cve,1546877
cls,1546659
ecn,1542466
twn,1537367
utd,1536024
sul,1533755
xfm,1532105
sps,1531716
mcs,1530966
cmc,1529724
cnt,1529574
aan,1528815
nah,1527428
eek,1525973
vdc,1525497
xyz,1524657
bum,1523602
vim,1522278
ssp,1521575
icp,1520260
wir,1520137
ugm,1518233
bsa,1518101
ima,1513442
mtn,1512743
pbx,1512302
inv,1511462
pln,1511242
cin,1511114
msp,1510916
nrt,1510098
afs,1507706
ost,1505328
aha,1504696
dre,1503087
git,1499593
nps,1498002
afr,1497917
ejb,1497479
afi,1496874
cfp,1493033
osi,1492702
hmo,1491986
blm,1490407
mtg,1490213
cma,1486918
tdd,1484708
dcc,1483624
btu,1483619
sud,1482894
kda,1481243
gyn,1478793
ely,1478336
hoe,1477042
ugg,1475746
pvr,1473685
dms,1472768
dnr,1472344
nee,1470805
rtp,1469435
umm,1468963
eap,1468506
ism,1467998
dnp,1466338
rbd,1464119
xff,1463722
lng,1461692
pds,1461648
ini,1459517
mrc,1459491
ncc,1459114
ldl,1457107
pgs,1456934
hue,1456848
xga,1456754
eof,1452081
ito,1452008
mig,1449194
ndp,1448007
itt,1446494
ley,1444718
ike,1444273
iff,1443652
ibs,1442729
pir,1440730
loi,1439968
typ,1439556
mgt,1435720
mgr,1434030
vue,1433007
mex,1431119
sel,1429135
hmc,1425449
nid,1424780
ffm,1424480
duh,1424410
hse,1424092
wah,1423019
mor,1421481
irb,1419944
ava,1419781
amr,1419331
ecu,1419299
crd,1418753
trp,1418657
psd,1416527
adb,1416413
ias,1415876
pai,1414879
fic,1414405
nix,1414384
tak,1414341
fdi,1413836
npc,1412376
bun,1410710
cip,1410346
lsc,1409103
xen,1406658
scc,1404249
raj,1404214
anh,1399801
dai,1399309
ssc,1399206
bps,1395862
ccg,1395440
jig,1392504
spl,1392410
qua,1392046
cla,1388822
cbr,1386776
pab,1386417
hom,1386246
cul,1384373
sae,1382983
prs,1380548
ssb,1380344
cpd,1379260
ece,1378756
ntl,1374631
byu,1371972
sdp,1369535
fay,1368931
iep,1366037
gpg,1364699
ene,1363827
mtb,1359115
aed,1356539
vms,1356380
wno,1356364
dbi,1356286
orr,1355860
uva,1355326
fga,1355065
ese,1353074
ils,1352844
civ,1351849
fro,1350640
dsn,1350213
uhf,1348919
phy,1347534
sth,1347033
slc,1346401
cfl,1346254
nci,1345929
nga,1345823
isn,1345149
lau,1344810
kwh,1342950
spv,1341832
ets,1341111
hoo,1340710
ara,1337611
tru,1337210
tay,1336095
ctc,1334557
aeg,1333387
lcs,1333031
uns,1331118
gpm,1328603
hoh,1328073
hla,1327538
adi,1326458
hfs,1326150
nal,1325684
mea,1324431
pca,1323349
cel,1322845
dwl,1320263
nea,1319530
cbt,1317693
oti,1317269
aas,1317123
jas,1316739
sma,1316487
epi,1315354
ame,1314750
mpn,1312813
cse,1312436
dri,1308376
jpn,1307013
nye,1306440
cdw,1305841
dif,1304707
isc,1304021
tre,1301732
oft,1301717
bnc,1300125
ria,1299359
cdi,1299250
clp,1298786
pun,1298700
tae,1295188
wkh,1294130
nyu,1291372
dps,1290835
dol,1290674
wrt,1290357
ppg,1289322
sym,1289278
pla,1288766
nfc,1288757
ina,1286713
mga,1284861
lsd,1284458
sow,1282086
wiz,1281900
itv,1281267
bce,1280527
ssn,1279707
mou,1279615
hpv,1279432
sei,1279042
sho,1278114
rds,1277587
abb,1275914
idx,1272392
aec,1271838
gbr,1270719
koi,1270462
cba,1270193
oth,1267942
vnu,1266812
iva,1264734
sau,1263695
nds,1262478
dbm,1262425
ssw,1262203
pov,1259520
ifc,1259499
pcp,1259132
rho,1258046
dav,1256877
bcc,1256239
ven,1256056
ecb,1256010
ugh,1255553
nlm,1254807
flo,1253201
bcs,1249837
icu,1249209
veg,1249104
grp,1246412
edp,1245975
scs,1245524
dur,1245154
doh,1244449
dmr,1242805
svs,1241680
icd,1241343
fmt,1237140
nys,1236130
cra,1235909
sly,1235755
wtc,1235406
vba,1231870
scp,1229601
hst,1229552
fey,1228854
cmt,1228764
usm,1227972
xls,1226805
bog,1226534
lsb,1224767
sag,1223285
cda,1222241
maj,1221844
usp,1221517
foi,1221236
mss,1220495
ici,1219966
ucc,1219474
pur,1219454
ono,1219081
cem,1218648
rte,1215424
pha,1214862
igg,1213796
wsu,1213414
vlc,1212616
liv,1211265
jag,1209711
els,1207650
sod,1207500
pcc,1206183
spr,1205599
nep,1205112
ach,1205052
csp,1204352
ait,1204086
drc,1203380
hoa,1203065
aip,1200331
eda,1200135
rar,1199968
hin,1199932
pmi,1199061
tdm,1197978
gmp,1195200
mth,1195054
pdc,1194344
shu,1194075
tcs,1193567
csf,1191120
lyn,1191078
mcd,1190717
jeu,1190201
inr,1189134
eth,1187222
aga,1186967
cdf,1186726
jel,1186313
dvp,1184835
csb,1184432
srv,1183105
mhc,1181286
odp,1180835
fer,1180616
cta,1180406
nzd,1180160
fil,1179476
psx,1179327
dmv,1178787
ayp,1178560
sil,1176563
tsx,1176175
dnl,1175816
mtu,1175653
cys,1174659
smd,1172498
chs,1171872
zar,1171036
khi,1168772
hdr,1168400
anc,1167914
tld,1167876
trl,1167317
jus,1166646
bpo,1166525
rtl,1165603
iea,1164903
coo,1164824
czk,1164377
opm,1163870
tmc,1163137
dob,1161965
cov,1161811
tcb,1160901
idl,1160460
dax,1160128
ris,1160073
nag,1159702
mdl,1157828
hts,1157369
cto,1155741
asl,1152868
obi,1152801
pom,1152017
ble,1151300
clk,1150818
ica,1150640
cyl,1148854
cec,1147280
nra,1142935
ihr,1141976
ccr,1140882
pvp,1139927
bic,1139498
irl,1139398
mfa,1139155
emt,1137632
aia,1136427
tig,1136370
eec,1136143
nlp,1135827
smt,1135349
sia,1135008
csd,1134229
frm,1133643
dbs,1132943
smh,1132663
mwf,1131918
tod,1130210
dla,1130020
zhu,1129110
kip,1128817
bla,1128521
stc,1128158
orc,1127729
gti,1127708
hdl,1127463
yun,1127098
hui,1126915
nac,1126808
cwa,1126470
fsc,1125483
vow,1125355
ttc,1125043
rin,1120013
dup,1119506
syd,1119496
fsu,1119196
